Company,TypeName,Inches,Cpu,Ram,Gpu,Weight,IsFullHD,IsIPS,IsTouchscreen,IsRetina,ResolutionWidth,ResolutionHeight,IsHDD,IsSSD,IsFlashStorage,FlashStorage,MemorySizeHDD_TB,MemorySizeHDD_GB,MemorySizeSSD,CpuSpeed,CpuBrand,GpuBrand,OperatingSystem,Price
4,3,15.6,106,8,7,2.02,1,0,0,0,1920,1080,1,1,0,0.0,2.0,0.0,256.0,1.8,1,0,3,60867
7,3,15.6,12,6,29,2.04,1,0,0,0,1920,1080,0,0,0,0.0,0.0,0.0,0.0,2.9,0,0,3,29303
10,0,14.0,59,4,53,1.74,1,1,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.4,1,2,3,33513
4,1,15.6,102,8,76,2.62,0,0,0,0,3840,2160,1,1,0,0.0,1.0,0.0,128.0,2.8,1,3,3,79813
2,0,12.5,50,8,46,1.2,1,0,0,0,1920,1080,0,0,1,64.0,0.0,0.0,0.0,1.2,1,2,0,61751
2,4,14.0,106,16,98,1.3,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,1.8,1,3,3,79653
4,3,15.6,74,8,53,1.98,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.5,1,2,1,38681
2,1,15.6,92,8,89,2.591,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.6,1,3,3,48431
10,0,11.3,53,8,46,1.1,1,1,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.2,1,2,3,69210
4,3,15.6,54,4,24,2.25,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.0,1,0,1,24808
4,3,15.6,83,8,7,2.2,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.6,1,0,3,42624
4,1,15.6,102,8,75,2.62,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.8,1,3,3,58554
10,0,13.3,89,16,47,1.3,0,1,1,0,3200,1800,0,1,0,0.0,0.0,0.0,512.0,2.5,1,2,3,79866
7,3,15.6,56,4,47,1.86,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,2.0,1,2,0,19441
10,3,15.6,56,4,47,2.2,1,0,0,0,1920,1080,1,0,0,0.0,0.0,500.0,0.0,2.0,1,2,3,21791
4,3,13.3,56,4,47,1.65,0,0,0,0,1366,768,0,1,0,0.0,0.0,0.0,128.0,2.0,1,2,3,36709
16,3,14.0,108,4,45,1.75,0,0,0,0,1366,768,0,1,0,0.0,0.0,0.0,128.0,2.1,1,2,3,26586
10,1,15.6,102,8,79,3.2,1,1,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.8,1,3,3,69210
10,3,15.6,56,8,67,2.2,0,0,0,0,1366,768,0,1,0,0.0,0.0,0.0,256.0,2.0,1,3,0,26586
4,3,15.6,68,4,20,2.24,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,2.3,1,0,3,40980
0,3,17.3,60,4,97,3.0,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,3,3,37402
2,3,15.6,113,4,43,2.0,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,1.1,1,2,3,16197
2,3,15.6,112,4,42,2.65,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,1.6,1,2,3,16463
4,3,15.6,74,12,53,2.25,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.5,1,2,3,34578
2,4,14.0,97,8,53,1.1,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.7,1,2,3,99793
7,2,11.6,36,2,41,1.17,0,0,0,0,1366,768,0,0,1,32.0,0.0,0.0,0.0,1.6,1,2,3,11135
7,3,15.6,97,8,7,2.1,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.7,1,0,3,39693
7,2,12.5,97,8,53,1.26,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.7,1,2,3,79014
4,3,15.6,59,4,53,2.18,0,0,0,0,1366,768,0,1,0,0.0,0.0,0.0,128.0,2.4,1,2,3,29144
2,1,17.3,102,16,75,2.9,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.8,1,3,3,74964
7,3,15.6,56,8,47,1.86,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.0,1,2,3,28717
7,3,15.6,19,4,12,2.1,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,1.5,0,0,3,17582
4,3,15.6,56,8,23,2.0,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.0,1,0,3,39373
18,4,13.3,74,8,98,1.3,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,3,0,53274
